Comment,Designator,Footprint,LCSC Part #
MCX jack 50R THT (BWMCX-KE),"J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30",Samtec_MCX-J-P-H-ST-TH1,C5137197
QSE-040-01-L-D-A socket,J5,SAMTEC_QSE-040-01-X-D-A,C3652741
